u,g,r,i,z,redshift
24.64636,21.81833,20.4544,19.59761,19.10171,0.423848
21.06542,20.12542,20.00875,19.92798,19.92301,-7.59672e-05
22.80023,22.54541,20.59008,19.75443,19.24166,0.4434761
24.0751,22.77565,21.30506,20.03176,19.77304,0.6186447
23.14536,22.25876,21.97262,21.95336,21.70236,2.369308
18.09324,16.36607,15.54711,15.11706,14.79976,0.0656288
21.47032,19.28358,17.88108,17.36871,17.02659,0.2341932
23.65168,21.69348,20.50734,20.03479,19.65457,-0.0001898039
22.16268,21.58796,21.25515,20.89495,20.40101,1.683564
21.75792,21.14542,21.02886,21.08416,20.65265,2.212698
26.24044,21.9685,21.42155,21.73232,20.63891,-0.0007310157
21.19916,18.67098,17.43191,16.93698,16.57647,0.1699921
23.87769,22.50915,20.39868,19.41789,18.97336,0.4939297
19.59579,17.98501,17.26868,16.87153,16.6081,0.06693009
22.43707,24.26411,24.15461,21.7278,19.95095,1.367903
22.17482,20.89558,19.13371,18.40488,18.00501,0.4257156
19.91122,19.72298,19.53327,19.32126,19.38806,1.476424
21.8848,19.65384,17.96317,17.35948,17.00386,0.3719885
19.14519,17.16492,16.26145,15.82542,15.48357,0.06462377
18.39825,16.79783,16.03543,15.58355,15.35089,0.07387231
25.38318,21.4766,20.25,19.50515,19.21656,0.2491769
22.95092,21.95002,20.13191,19.24789,18.83175,0.5087938
21.96368,21.63936,21.3074,21.21138,21.14543,-0.0006534151
19.45015,17.67986,16.88194,16.52972,16.24063,0.0458651
23.05823,22.05204,22.13708,21.90195,21.88471,0.06981183
21.13748,20.62937,20.47757,20.54421,20.37673,0.7771033
22.4311,19.79508,18.38168,17.7261,17.35732,3.25004e-05
24.02716,21.49333,20.27918,19.54088,19.03417,0.5268326
25.27006,22.13879,20.71015,19.91958,19.41146,0.5003189
25.69279,22.1032,20.19237,19.18615,18.75489,0.5349177
24.49706,22.28259,20.42866,19.45832,18.98273,0.5202444
18.2263,16.16281,15.25431,14.90732,14.69488,0.0001717154
19.50239,18.54613,18.25294,18.14607,18.14157,-0.0001075831
24.87869,22.22465,20.66367,19.72387,19.43693,0.555346
21.87768,21.50716,21.50616,21.41034,21.20247,2.167747
22.69482,21.43424,21.20123,21.26747,21.01726,-6.753568e-05
21.57166,21.20217,20.55918,20.24746,20.20333,0.515388
18.7107,17.88922,17.62467,17.4939,17.40929,0.01919836
21.14224,20.92953,20.82104,20.62179,20.20984,0.8747941
19.11717,17.47971,16.67375,16.22757,15.93242,0.1207447
20.91421,19.99697,19.74265,19.61621,19.3502,2.63118
24.52573,24.56507,21.85904,20.6003,19.56432,0.6919469
22.28403,21.42852,20.36573,19.6298,19.07585,0.6373621
23.06379,21.92715,21.2771,20.44587,20.07717,0.755953
21.23866,21.49237,21.4601,21.28822,20.60269,1.960948
19.96189,18.09094,17.02358,16.6263,16.28617,0.1373715
21.87242,21.53166,20.58319,19.42004,19.06396,0.7035757
20.90099,20.14913,19.94777,19.80737,19.63607,-0.0005329321
22.79546,20.4503,18.61019,17.9739,17.62296,0.3249427
23.094,23.67923,22.16943,20.94296,20.04008,1.512178
22.61238,20.14135,19.01834,18.53316,18.22011,0.1762319
19.64592,18.23569,17.38161,17.00465,16.66511,0.1674889
22.00762,21.06393,20.65121,20.42544,20.5022,-0.0008343153
20.49916,18.87345,17.57099,17.02282,16.68714,0.2233978
21.61529,21.47325,21.32472,21.15373,20.73084,1.453645
22.28868,23.21955,21.39545,20.29014,19.56955,0.6978204
20.75704,20.40364,20.2329,20.13198,20.23373,1.497181
24.25881,21.76053,20.09364,19.30122,18.90114,0.4829136
24.45993,22.54954,21.28228,20.2829,19.40442,0.7651013
23.51907,22.64021,21.09972,19.88917,19.4364,0.5753946
22.12886,20.92018,19.53126,18.75319,18.23573,0.1943263
25.31961,21.98445,22.86466,22.21885,21.13111,1.188121
20.31293,20.11166,20.12158,19.83952,19.79953,1.699668
20.90788,20.83451,20.5354,20.41187,20.73462,1.309217
25.80513,22.23114,21.80386,21.37984,20.49531,1.151011
18.75782,17.35607,16.68832,16.27453,15.96111,0.05100792
22.69506,20.93133,19.28998,18.55984,18.11698,0.4191037
26.38944,23.61655,21.70798,20.5864,19.90515,0.7625664
26.36032,21.44744,19.51446,18.59384,18.09253,0.5405776
22.41403,21.25993,20.07531,19.28335,18.79655,0.536853
22.7221,22.17582,21.62402,21.32279,20.59956,0.8965564
22.90564,23.19144,22.72521,21.36713,20.86025,0.8401372
23.32087,22.206,20.44958,19.59003,18.95714,0.5043368
23.05509,20.58291,18.76741,18.12176,17.70592,0.3725471
24.02877,20.7794,19.02502,18.39225,17.99226,0.3255205
15.69112,14.60769,14.31837,14.24286,14.26122,0.0001100612
17.27325,15.84058,15.16361,14.77116,14.49463,0.05522663
19.37405,18.44452,17.77497,17.37957,17.22748,0.2132928
23.60551,24.74368,21.79295,20.70235,19.7316,0.7895751
18.55226,17.04774,16.3135,15.94856,15.67899,0.06758618
23.28169,23.14939,21.97138,20.82518,19.92802,0.7756043
25.97299,23.05701,21.44555,20.2319,19.36594,0.6429459
17.76765,16.05639,15.2759,14.88997,14.60182,0.02499253
23.37411,21.33526,19.50349,18.79832,18.36479,0.4285073
17.91538,16.74786,16.21403,15.87601,15.68588,0.07961282
27.12608,22.58602,21.15214,19.60819,18.83496,-9.451885e-05
19.80297,19.38403,19.11164,18.89778,18.72818,1.986832
26.74372,22.47355,21.02572,19.8469,19.65304,0.522691
19.42349,17.75961,16.97984,16.59457,16.31441,0.04213809
23.55935,23.00433,21.17928,20.06892,19.31075,0.5395657
23.66847,22.23556,20.80105,19.49395,19.14039,0.6270631
22.39615,20.38903,19.33317,18.91347,18.6776,-5.096173e-05
18.15747,16.57099,15.98615,15.7882,15.72202,-0.0001347283
18.5159,16.93061,16.17369,15.7709,15.48627,0.1021246
21.80138,21.98472,20.91171,19.90098,19.16462,0.9971916
21.10832,19.72551,19.1648,18.93183,18.763,-0.0005539973
25.71007,21.95201,20.31537,19.23557,18.85081,0.5461314
20.20874,18.16439,17.38565,16.86267,16.50331,0.0734173
24.25465,22.62547,21.69996,20.8404,20.39682,0.6314977
27.01154,20.3611,18.74388,18.14575,17.90402,0.3118779
23.64065,24.07166,22.19795,20.77293,19.95468,0.7210587
20.02333,18.16835,17.12645,16.6891,16.33775,0.114589
26.42169,22.79924,21.63463,20.61377,19.93212,0.8036017
21.75591,20.14627,19.53455,19.28654,19.07536,-0.0005478996
21.76725,21.42948,20.75068,19.81807,19.66296,0.726783
23.91084,19.88864,18.39227,17.83346,17.51552,0.2409877
23.27542,22.82539,22.4582,21.9406,21.65415,0.7899904
20.09633,19.13456,18.81287,18.68433,18.66738,-0.0002783108
24.03456,23.51756,21.97257,20.69266,19.96825,0.6279724
16.17084,15.61736,15.71163,16.62035,16.00248,-0.0001422005
25.81787,22.23283,21.43379,20.44343,20.73469,0.6658549
22.36265,22.89732,20.90556,19.88182,19.30473,0.6398497
21.21341,20.73188,18.71996,18.03729,17.58257,0.3468533
22.85725,21.63015,21.35335,21.50409,21.02631,2.428505
21.33249,20.87639,21.08569,21.37782,21.78778,0.03402925
20.09189,18.73517,17.89609,17.42341,17.11138,0.1758267
22.49283,22.5053,20.73629,19.41682,18.71712,0.678998
23.10114,22.84605,22.14327,21.02419,18.99294,0.9251183
24.74136,22.19475,20.26267,19.42233,18.95772,0.4535578
23.83521,21.13501,20.06181,19.16023,18.56329,0.6019623
20.53079,20.41411,20.52884,20.19257,20.22967,0.8435619
22.49325,22.56226,22.16423,21.64418,21.37527,0.9512991
21.86263,21.21748,22.50514,20.97394,22.47096,0.06760311
18.83273,17.08529,16.32051,15.96366,15.68788,0.0407582
26.02881,22.87863,21.02577,19.82512,19.32321,0.6266301
19.769,18.83719,18.43461,18.15486,17.93743,0.04258224
23.01985,21.49991,20.64059,19.8305,20.03028,0.4515772
27.29082,24.73432,22.10571,20.90132,19.85696,0.8127263
21.17934,19.30594,17.80825,15.90261,14.85458,5.199444e-05
18.91155,17.98308,17.79381,17.72878,17.70939,0.000372172
20.23468,18.92846,17.83504,17.30866,17.00978,0.2049932
18.97739,17.49328,16.8888,16.63255,16.50819,-6.636865e-05
23.02188,22.99549,21.71299,21.36073,21.50496,0.6910713
22.54302,21.48056,21.32372,21.27602,21.40982,2.46181
22.46527,21.84359,21.86079,21.79813,21.08537,2.628266
22.51359,21.56641,20.31119,19.59361,19.11774,0.4586622
24.39248,23.7797,23.13317,21.97702,21.88269,0.8816119
18.12761,17.96885,18.08269,18.25469,18.47539,-0.0001224115
22.47285,22.15175,20.54201,19.62029,19.08825,0.5404847
20.28818,18.26501,17.11779,16.63279,16.2377,0.1431516
20.17926,19.15586,18.8741,18.79495,18.718,8.444634e-05
24.47516,22.36794,21.12352,19.92133,19.28429,0.0005851128
22.59975,21.2441,19.37728,18.29368,17.72256,0.5272869
23.41638,23.15634,22.22745,22.20451,21.56814,-0.0005212096
21.68817,20.45074,20.14229,19.99957,19.76874,-0.0009577251
21.62493,21.36085,20.8295,20.88724,20.57878,1.116431
21.23624,19.73572,18.86564,18.43619,18.19399,0.2007708
20.72375,20.59785,20.41408,20.19768,20.39332,1.591215
24.68089,21.30269,20.63962,20.33684,20.22125,-0.0001371455
22.38936,22.77183,21.09546,20.38162,19.64628,0.5880163
25.4391,21.26829,19.97751,18.7648,18.30934,-1.606827e-05
20.58327,19.11036,18.48143,18.23128,18.08525,-0.0001182513
21.47999,20.98101,20.75312,20.69181,20.34198,2.219303
26.34762,23.37954,22.30855,21.26871,19.91023,0.8260679
19.20205,17.84842,17.20796,16.87225,16.67418,0.1208073
25.81297,23.27086,22.01706,20.81233,19.91724,0.9707298
22.36459,22.262,21.83448,21.95024,21.46165,1.125962
19.0186,18.04499,17.63444,17.46488,17.40945,-0.0005555543
24.12957,24.61528,21.7514,20.38485,19.82673,0.9439688
21.66849,21.77496,21.23855,21.22631,21.18517,1.160723
23.98641,21.02303,19.28943,18.54618,18.08241,0.3879598
25.72027,22.12281,20.3294,19.0519,18.78886,0.5668421
21.63791,20.70093,20.47025,20.26799,20.62747,-6.848796e-05
21.55955,21.37619,21.33458,20.9598,20.86341,1.860916
20.81532,18.92259,17.79581,17.34794,16.97348,0.1626786
24.43371,21.82983,20.28503,19.17044,18.54311,0.0003087462
19.23146,18.86281,18.91582,18.60741,18.53424,0.499435
23.18554,20.65706,18.99689,18.33169,17.89338,0.388785
24.27033,20.70605,18.96037,18.33712,17.93847,0.3935459
22.29349,21.63202,21.50083,21.32487,21.2324,1.819882
23.4108,22.80305,21.97664,20.63364,19.87024,0.860134
19.38091,19.29543,19.22166,19.08854,18.90766,2.067037
26.08001,21.85184,20.53254,19.6886,19.50612,0.5018336
23.09329,23.46363,22.74127,21.1226,20.87349,0.7485123
20.85587,20.38151,20.6237,21.02968,20.7571,-0.0002549074
22.65603,22.36054,21.53042,20.89939,20.87804,0.6611862
17.74771,16.77286,16.43064,16.18965,16.04954,0.03558012
24.44328,22.42451,22.80989,21.84051,21.73073,1.083555
19.45613,17.51192,16.37432,15.89325,15.45346,0.1246293
25.87504,22.90761,20.55673,19.38346,18.71073,0.7052016
21.96292,20.80512,20.26571,20.05668,19.9143,-5.269561e-05
25.31805,22.92785,20.98279,20.35092,20.36808,0.3077373
23.33242,22.65163,21.93776,20.75591,20.13973,0.7764589
25.62925,24.01382,21.82409,21.00595,21.14345,0.4862283
25.4294,23.05978,21.49527,19.91344,19.03618,-7.322503e-05
20.19753,19.84361,19.66391,19.38591,19.41247,1.564931
24.01639,22.91194,21.92953,20.66899,19.94918,0.7259385
17.52112,16.21958,16.11495,16.13251,16.17952,-0.0003016221
21.23606,18.44512,17.28658,16.84118,16.57461,8.180582e-05
22.31481,21.69703,20.60728,19.80438,19.3163,0.5604583
21.58241,21.27901,21.24621,20.91867,20.92781,0.9115545
25.66349,24.49261,23.90102,20.9237,21.29195,0.791374
24.56313,21.17285,19.40174,18.76079,18.45638,0.3252137
22.3345,20.11953,19.85842,19.79839,19.69966,3.086987
20.72291,20.57865,20.62077,20.42227,20.63659,2.014955
18.03764,17.73227,17.76485,17.89661,17.79797,0.7435868
23.21607,22.51852,21.75943,21.12403,20.60516,0.6170394
23.23931,21.59944,21.06978,20.76993,20.95078,0.0004761617
25.36346,22.96205,22.05567,21.30133,22.62099,0.9445612
19.24333,18.87316,18.65718,18.63501,18.4379,0.8347759
20.95271,20.57952,20.34581,20.25824,20.09455,0.9224651
19.78202,18.66921,18.31269,18.16934,18.10867,-0.0001700597
19.43179,17.10076,16.12915,15.7939,15.6085,-8.092418e-05
25.43743,22.58027,21.08669,19.90431,19.40483,0.6620275
21.45141,21.10749,20.89078,20.96948,21.06307,1.401732
21.79773,19.04122,17.81297,17.30854,17.05966,-0.0001960196
25.58116,22.4115,20.6414,19.80783,19.24281,0.4407745
21.48295,20.79669,20.70749,20.61668,20.26538,0.8571082
22.45124,21.70065,21.5853,21.32599,21.22188,-0.0009402503
24.39337,22.09462,20.58109,19.67651,19.2197,0.5337226
18.94968,18.05597,17.74101,17.37437,17.26123,0.0768087
20.66583,18.68471,17.68264,17.24676,16.88529,0.09680688
20.02147,17.98084,16.8963,16.43892,16.03386,0.130197
23.23048,21.99434,20.46195,19.52466,19.20322,0.5394199
18.50602,17.60104,17.27877,16.87645,16.7916,0.05857291
19.56508,17.55329,16.56339,16.07618,15.6932,0.08988986
19.49749,18.39517,17.70098,17.30844,17.06796,0.1590907
21.47895,20.79498,20.62658,20.62734,20.74161,0.0006514148
19.84537,19.43639,19.39653,19.33664,19.14509,2.18311
22.25773,19.68315,18.17513,17.62095,17.25066,0.2450593
22.73297,21.61402,20.44442,19.70355,19.31864,0.6005612
23.19267,23.55811,21.74148,19.01341,17.558,-0.000150451
24.88747,23.50954,21.52708,19.21252,17.91377,-0.0001191817
22.60511,21.85442,21.87127,21.84742,21.52089,2.522763
21.38383,21.32191,21.10849,20.9498,20.81882,1.419024
25.92047,22.55701,20.55997,19.4148,19.04716,0.6399902
25.95385,24.8103,22.03037,20.77427,19.93646,0.7354732
18.10713,17.11042,16.67764,16.48491,16.4173,0.0298672
20.3533,18.5875,17.44695,16.93657,16.4867,0.1171553
18.77262,17.75951,17.25878,17.0176,16.88654,0.009270805
22.54899,22.14574,21.89589,21.81678,21.11146,2.178588
26.18056,21.91269,20.00355,19.16405,18.85979,0.508216
21.58117,20.56056,20.40452,20.47819,20.3036,-0.0009887373
22.14327,20.58584,18.74279,18.06847,17.65136,0.3358453
22.86003,21.19004,19.42362,18.74791,18.40469,0.3596817
17.9915,16.87259,16.37717,16.1109,16.06733,0.01449215
22.64437,20.51722,18.7481,18.12519,17.69214,0.2714715
17.47257,16.17436,15.65935,15.4486,15.3322,6.924696e-05
23.35288,22.06141,21.8576,22.04141,21.96393,2.636103
23.43146,20.48494,19.07534,18.50121,18.14132,0.0001739407
19.81234,18.08505,17.07244,16.98839,16.72968,-0.0003948789
18.51121,16.44743,15.40384,14.95959,14.61159,0.1060963
19.86362,18.48392,17.54929,17.0822,16.7433,0.1518045
25.56141,22.91386,22.39841,21.47905,21.72936,0.7843828
19.02548,17.17764,16.19156,15.70233,15.32178,0.09817449
24.8195,22.25776,21.8983,21.09202,20.86285,0.8007506
23.21316,20.55196,18.8472,18.23496,17.82709,0.3337132
20.85451,18.58327,17.32556,16.75266,16.30568,0.1522064
24.12572,22.86731,21.87431,20.76126,19.92481,0.6407546
19.30433,18.32338,17.99468,17.86452,17.84397,-0.0003652491
20.4884,20.11983,19.95126,19.87298,19.82168,0.7977904
21.72048,20.68382,19.60587,19.22403,18.72262,0.3629925
26.09113,21.38144,19.53752,18.86479,18.43744,0.3944055
21.85122,20.14046,18.59156,18.00062,17.61775,0.2783479
22.53072,19.86628,18.36529,17.73439,17.33202,0.2634752
23.62412,21.97057,20.35625,19.57009,19.24401,0.4297726
23.06746,20.74633,19.70069,19.26032,19.04567,0.0001451655
21.69589,21.04651,21.06598,20.94234,20.54676,0.7064219
18.97973,18.78323,18.62978,18.63062,18.59318,1.08825
20.45385,19.28119,18.91993,18.60621,18.55819,-0.000369052
23.42833,21.77538,20.3012,18.59834,17.69995,-2.617566e-05
23.89015,20.44414,18.47704,17.80223,17.44831,0.3635227
19.29762,18.24768,17.92589,17.78993,17.80298,-4.41455e-05
22.43381,21.53262,20.45005,19.71946,19.64016,0.6760924
21.44407,21.04727,20.86913,20.83812,20.66361,1.019814
19.55534,19.47581,19.46725,19.17918,19.03857,1.730629
21.99402,21.73958,21.40535,21.13148,20.58375,0.8866076
22.53489,21.88585,20.49162,19.60374,19.02587,0.560078
23.54727,22.41611,20.41894,19.45196,18.94743,0.4536493
24.63465,20.93306,21.19793,20.55153,20.48325,2.986724e-05
21.55686,21.52036,21.22465,21.04701,21.19313,1.490769
23.88877,22.1814,20.53673,19.55007,18.92296,0.6122748
24.9585,21.72686,21.3864,20.9001,20.79638,2.920251
23.80848,21.13586,19.32031,18.60149,18.18392,0.4132263
25.55103,22.06384,21.31186,20.64158,20.17401,1.036778
20.92285,20.62088,20.5785,20.34655,20.0546,2.139553
19.42423,18.27615,18.0476,17.99546,17.95487,0.001018371
22.4997,20.7644,19.03576,18.37079,17.9902,0.3210608
22.15235,21.38998,20.75377,19.75037,19.07362,0.0003131613
25.96357,22.17846,20.60556,19.36536,18.89906,0.659047
24.87754,20.89534,19.11327,18.4636,18.11015,0.4011854
18.17878,17.21789,16.93514,16.83347,16.78802,-0.0002611902
21.65609,20.91097,20.71685,20.3888,20.17938,0.6054287
22.30101,18.91704,17.5675,16.95789,16.52218,0.1831917
23.45931,20.76178,19.01278,18.30247,17.97039,0.4294232
19.51929,18.47412,18.11639,17.9643,17.96065,0.0004891923
20.24486,19.97911,19.49636,19.01106,19.00073,0.2060784
25.77404,23.81805,21.38669,20.32582,19.66908,6.270037
23.74397,23.14222,21.72099,20.20197,19.3976,0.712293
22.96508,21.43629,20.03452,19.25562,18.77318,0.5227864
22.18719,21.32968,19.91508,19.11526,18.57352,0.5385358
24.33966,21.42559,21.15015,21.23046,21.58379,3.268464
21.98337,21.38595,20.7434,19.98462,19.64899,-0.0003442702
24.75036,22.60233,20.67429,19.69226,18.99306,0.5618024
24.63306,21.69642,20.09429,19.07055,18.55763,0.529451
25.5352,20.77015,18.99765,18.36807,17.9194,0.3782649
21.97243,22.38624,21.77308,21.2657,20.95766,0.8021949
21.57077,19.51914,18.00696,17.44391,17.05903,0.2298882
20.12849,18.53912,17.75659,17.35322,17.05236,0.0459184
20.20385,18.24587,17.12806,16.65629,16.24965,0.1506014
18.6819,17.40762,16.87984,16.54987,16.31661,0.07340172
19.35943,18.32212,17.89316,17.72237,17.68016,-0.0003910332
26.71058,25.39609,21.90431,20.77419,19.84415,1.577817
22.61739,22.37301,21.8947,21.0531,21.09891,0.8124676
21.04203,20.03511,18.48605,18.19668,18.01309,0.0001038521
19.20334,17.95994,17.38919,17.06105,16.93852,0.07327258
22.83149,20.72092,18.95,18.35189,17.98384,0.369372
20.66194,18.4042,17.52525,17.18942,17.02515,-7.966709e-05
23.57418,23.76791,21.6792,20.77775,21.89012,0.3384573
22.67348,21.12909,20.12851,19.26469,18.72043,0.5765921
20.89042,20.16214,20.10729,20.08469,19.64557,2.555633
20.04957,18.27647,17.57171,17.26854,17.09007,-0.0002927316
20.37542,20.32073,19.98309,19.90325,19.82564,0.0
17.81924,16.16964,15.34703,14.88638,14.53326,0.04300949
26.53495,23.93267,21.80956,20.60498,19.80807,0.5240999
22.55939,22.1017,22.15292,21.79651,21.45854,1.877732
27.00871,24.3822,21.52698,20.3777,19.33769,0.7882787
21.85592,23.00633,21.72626,21.48626,22.23396,0.3379383
22.33135,22.28789,21.20095,20.05848,19.76411,0.6164119
22.53911,23.18307,21.68191,20.49212,19.68354,0.6645419
23.64224,22.54263,21.89084,21.61366,20.56913,1.170956
19.63549,17.69769,16.98243,16.70499,16.56388,4.970836e-05
20.326,19.97413,19.77085,19.47487,19.56168,1.741906
20.20187,18.45049,17.46604,17.02083,16.68185,0.09908511
25.36399,22.02272,20.27625,19.57257,19.24713,0.4382044
26.19007,21.94949,20.3508,19.54407,19.04558,0.4421014
24.48276,23.3642,22.4925,20.78247,19.99026,-3.369283e-05
22.31705,21.77923,21.86525,21.86531,22.09483,9.88282e-05
21.64133,21.35582,21.10933,20.67031,20.33699,0.8098965
25.96611,23.92512,22.65995,21.14507,19.97535,0.76836
23.43348,22.09431,22.47003,22.27442,22.61159,-8.364938e-05
24.77402,22.34993,20.71514,19.63397,19.26985,0.5861589
26.08397,23.02509,20.76064,19.65458,19.15856,0.5925887
20.71521,20.57093,20.32239,20.16356,20.45569,1.207698
19.58896,18.51579,17.86596,17.45576,17.20327,0.1569422
23.06674,20.47982,19.54054,19.09804,18.92949,0.0002004066
23.50116,22.72642,20.61599,19.50537,19.19082,0.4819909
21.0418,19.61078,19.06203,18.83371,18.66837,-0.0005677213
20.9821,18.6336,17.54686,17.14861,16.9128,-0.0001282626
23.39267,21.8336,20.33353,19.54477,19.11079,0.4476207
18.84023,18.63385,18.98161,19.21634,19.58784,-0.0002887178
17.16385,16.03503,15.57699,15.40354,15.32911,0.0003440749
23.36678,22.95407,21.42796,20.38183,19.33599,0.5510226
21.9689,22.41351,21.89421,21.99293,21.50039,0.6717499
20.35606,18.46367,17.60721,17.1805,16.88474,0.06862946
18.00436,17.09915,16.82097,16.71767,16.67933,-1.697324e-05
22.19779,21.87465,21.75575,21.58455,21.77677,1.826406
18.77531,16.20412,15.07373,14.67218,14.45792,-5.099779e-05
18.60302,17.29913,16.56998,16.13174,15.82325,0.1140853
21.54506,20.54016,18.70395,18.03307,17.57991,0.3913283
20.87839,20.21259,19.93498,19.92288,19.68298,2.535336
21.83577,21.93484,21.85658,21.51795,22.1953,1.520598
25.51195,21.54319,19.6603,19.03174,18.64184,0.3903219
24.7474,24.40847,21.89247,20.86251,19.91192,0.9269277
21.62469,19.65476,18.07683,17.5319,17.18761,0.2700767
25.23832,24.21944,21.80359,20.47004,19.6226,0.8789955
18.33123,16.98334,16.35715,15.96024,15.74049,0.07597131
22.75552,22.12564,20.37753,19.37603,18.86058,0.4798102
23.60423,22.06899,20.08745,19.18749,18.64298,0.4973132
19.49183,18.49535,18.32557,18.08945,18.12039,0.07660676
25.79241,22.32469,20.70819,19.48746,18.74235,6.634156e-06
24.92535,23.04824,20.69178,19.77514,19.28008,0.5047989
24.91327,20.78387,18.97637,18.36983,17.82378,0.3555601
19.48296,17.34668,16.34791,15.87022,15.52091,0.06637038
21.45376,20.18994,18.5449,18.01329,17.64191,0.3743037
